SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,Orthographic_Sensitivity,Semantic_Sensitivity,List,accuracy,average_response_time,cond_trig,correct,counter,cresp,datetime,experiment_file,logfile,response,response_time,trial_type,family_size,complexity,target,total_correct,total_response_time,total_responses,word_trig,targ_type,base,affix,Source,FS,BF,LogBF,Family_Size,Base_Frequency,BaseLength,WholeFormLength,Sublist,Complexity,LogBF_std,FS_std,BF_std,Dim.2_std
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,42.3076923077,804,205,1,26,z,09/19/17 15:43:22,AB,subject-101.csv,z,757,NW,S,SIMP,advertisela,11,20904,26,25,NW_S_SIMP,advertise,ly,XuTaft,4,4.76,1.56,Small Family,High BF,9,11,2,Simple,-3.145765995718849,-0.5492894890704371,-0.6476481261041231,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,44.4444444444,757.62962963,206,1,54,z,09/19/17 15:43:22,AB,subject-101.csv,z,970,NW,L,SIMP,validel,24,40912,54,23,NW_L_SIMP,valid,er,RastleFiller,13,618,6.43,Large Family,High BF,5,7,2,Simple,0.024883478332966134,0.16612405216805937,-0.39714024858095415,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,45.4545454545,757.890909091,205,1,55,z,09/19/17 15:43:22,AB,subject-101.csv,z,772,NW,S,SIMP,gumfil,25,41684,55,2,NW_S_SIMP,gum,ful,Crepaldi,2,57,4.04,Small Family,High BF,3,6,2,Simple,-1.5311436762838382,-0.7082702760123252,-0.626308142538455,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,50.8196721311,754.098360656,206,1,61,z,09/19/17 15:43:22,AB,subject-101.csv,z,904,NW,L,SIMP,dressody,31,46000,61,21,NW_L_SIMP,dress,ory,Graves,33,3885,8.26,Large Family,High BF,5,9,2,Simple,1.2163184963031555,1.7559319215869404,0.9374257221127275,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,56.5217391304,738.144927536,205,1,69,z,09/19/17 15:43:22,AB,subject-101.csv,z,719,NW,S,SIMP,warnody,39,50932,69,12,NW_S_SIMP,warn,ory,Crepaldi,5,1697,7.44,Small Family,High BF,4,7,2,Simple,0.682451439070612,-0.469799095599493,0.04363008578650297,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,56.7567567568,729.445945946,205,1,74,z,09/19/17 15:43:22,AB,subject-101.csv,z,616,NW,S,SIMP,boltoes,42,53979,74,13,NW_S_SIMP,bolt,ous,Crepaldi,6,348,5.85,Small Family,High BF,4,7,2,Simple,-0.3527298060510283,-0.390308702128549,-0.507434956902746,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,61.1111111111,719.388888889,205,1,90,z,09/19/17 15:43:22,AB,subject-101.csv,z,661,NW,S,SIMP,nullith,55,64745,90,23,NW_S_SIMP,null,ish,XuTaft,4,45,3.81,Small Family,High BF,4,7,2,Simple,-1.680886875263698,-0.5492894890704371,-0.6312101295749791,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,64.347826087,701.547826087,206,1,115,z,09/19/17 15:43:22,AB,subject-101.csv,z,815,NW,L,SIMP,habitig,74,80678,115,7,NW_L_SIMP,habit,ic,Crepaldi,16,2066,7.63,Large Family,High BF,5,7,2,Simple,0.8061523425757133,0.40459523258089153,0.1943661871596185,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,64.4628099174,702.371900826,206,1,121,z,09/19/17 15:43:22,AB,subject-101.csv,z,980,NW,L,SIMP,taxfil,78,84987,121,6,NW_L_SIMP,tax,ful,Crepaldi,14,2763,7.92,Large Family,High BF,3,6,2,Simple,0.9949589847677105,0.24561444563900342,0.47908993419772566,-0.7494913065080693
S101,Hampshire,NA,1,1,2017-09-19,Male,21,Not Hispanic or Latino,Black,10,1-3 hours,Yes,English,No,55,25,68.75,33,17,66,40,26,14,NA,NA,13,13,13,13,26,0.5,0.5,-0.554335032726076,0.554335032726075,0,-1.10867006545215,Insensitive,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,Low Orthographic,Low Semantic,AB,65.0406504065,699.479674797,205,1,123,z,09/19/17 15:43:22,AB,subject-101.csv,z,578,NW,S,SIMP,urnilt,80,86036,123,5,NW_S_SIMP,urn,ist,Crepaldi,2,68,4.22,Small Family,High BF,3,6,2,Simple,-1.4139533466474263,-0.7082702760123252,-0.6218146544216413,-0.7494913065080693
